Category,Product Name,Sales,Profit,Discount,Profit Margin %
Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.37,832.99,0.13,10.99
Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71,780.33,0.18,10.35
Office Supplies,Tennsco 16-Compartment Lockers with Coat Rack,7515.52,1114.37,0.12,14.83
Furniture,Hon 94000 Series Round Tables,7404.5,-681.21,0.16,-9.2
Technology,Logitech diNovo Edge Keyboard,7399.7,1432.44,0.04,19.36
Furniture,Bretford CR4500 Series Slim Rectangular Table,7242.77,-532.76,0.26,-7.36
Technology,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.8,84,0.2,1.18
Technology,Zebra ZM400 Thermal Label Printer,6965.7,3343.54,0,48
Furniture,"Bevis Oval Conference Table, Walnut",6942.07,-856.01,0.28,-12.33
Furniture,Hon GuestStacker Chair,6936.1,1233.08,0.11,17.78
Office Supplies,Hoover Upright Vacuum With Dirt Cup,6832.91,460.35,0.17,6.74
Office Supplies,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.31,181.66,0.03,2.66
Office Supplies,GBC DocuBind 300 Electric Binding Machine,6785.14,494.42,0.41,7.29
Furniture,Bretford CR8500 Series Meeting Room Furniture,6776.56,461.13,0.18,6.8
Technology,Cisco Unified IP Phone 7945G VoIP phone,6751.6,102.3,0.23,1.52
Furniture,Hon Every-Day Series Multi-Task Chairs,6748.48,281.97,0.16,4.18
Technology,ClearOne CHATAttach 160 -Â speaker phone,6695.89,1053.98,0.2,15.74
Office Supplies,Standard Rollaway File with Lock,6594.95,1261.33,0.06,19.13
Furniture,Hon Multipurpose Stacking Arm Chairs,6584.64,814.42,0.13,12.37
Office Supplies,"Dual Level, Single-Width Filing Carts",6574.54,1640.53,0.02,24.95
Furniture,Balt Solid Wood Round Tables,6518.75,-1201.06,0.2,-18.42
Furniture,Hon Pagoda Stacking Chairs,6483.8,1540.7,0.1,23.76
Furniture,"Global Leather and Oak Executive Chair, Black",6410.87,854.78,0.18,13.33
Technology,Sharp AL-1530CS Digital Copier,6399.87,2064.96,0.25,32.27
Technology,Polycom VVX 310 VoIP phone,6227.65,899.95,0.15,14.45
Technology,Samsung Galaxy S4,6134.7,438.19,0.2,7.14
Technology,Samsung Galaxy S4 Mini,6109.87,1104.48,0.12,18.08
Furniture,Global Comet Stacking Arm Chair,6084.14,697.14,0.16,11.46
Furniture,Global Ergonomic Managers Chair,6008.54,785.45,0.14,13.07
Technology,Canon PC1080F Personal Copier,5999.9,1973.97,0.05,32.9
Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.2,267.3,0.23,4.46
Furniture,Hon 5100 Series Wood Tables,5965.09,-238.6,0.21,-4
Office Supplies,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,1653.83,0,28
Furniture,Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.03,1052.81,0.14,17.83
Furniture,Global Leather Executive Chair,5861.53,701.98,0.19,11.98
Furniture,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.82,-66.83,0.18,-1.15
Technology,Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.36,509.71,0.3,8.81
Office Supplies,Iceberg Mobile Mega Data/Printer Cart ,5751.77,1388.61,0.02,24.14
Furniture,Safco Contoured Stacking Chairs,5697.76,870.16,0.12,15.27
Technology,Canon PC940 Copier,5669.87,2092.45,0.2,36.9
Furniture,Bretford Â“Just In TimeÂ” Height-Adjustable Multi-Task Work Tables,5634.9,-964.19,0.22,-17.11
Technology,LogitechÂ Z-906 Speaker sys - home theater - 5.1-CH,5609.83,2243.93,0,40
Office Supplies,Deluxe Rollaway Locking File with Drawer,5572.79,1380.72,0.08,24.78
Furniture,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.88,15.05,0.32,0.27
Furniture,"Global High-Back Leather Tilter, Burgundy",5436.16,-474.74,0.19,-8.73
Furniture,Hon Olson Stacker Chairs,5427.99,1292.13,0.08,23.8
Office Supplies,Ibico Hi-Tech Manual Binding System,5398.32,-304.99,0.43,-5.65
Technology,Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26,1043.86,0.17,19.59
Furniture,Hon Olson Stacker Stools,5294.46,833.6,0.16,15.74
Technology,GE 30524EE4,5291.73,838.84,0.16,15.85
Furniture,Hon 2090 Â“Pillow SoftÂ” Series Mid Back Swivel/Tilt Chairs,5282.42,-989.05,0.22,-18.72
Furniture,"Lifetime Advantage Folding Chairs, 4/Carton",5212.11,972.64,0.14,18.66
Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.08,-126.44,0.27,-2.44
Technology,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.74,2155.89,0.03,42.11
Furniture,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.18,-404.01,0.32,-7.92
Office Supplies,Hoover Shoulder Vac Commercial Portable Vacuum,5009.48,715.64,0.18,14.29
Technology,Panasonic KX-TG9471B,4978.15,1168.1,0.06,23.46
Furniture,Chromcraft Rectangular Conference Tables,4952.67,-450.24,0.32,-9.09
Technology,Apple iPhone 5S,4901.91,512.99,0.2,10.47
Furniture,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,566.47,0.15,11.59
Technology,Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.84,1154.96,0.14,23.77
Office Supplies,Fellowes Staxonsteel Drawer Files,4829.25,509.97,0.03,10.56
Office Supplies,Smead Adjustable Mobile File Trolley with Lockable Top,4778.77,1106.66,0.07,23.16
Furniture,High-Back Leather Manager's Chair,4770.63,-197.58,0.17,-4.14
Office Supplies,SAFCO Boltless Steel Shelving,4704.7,-470.47,0.1,-10
Furniture,Global Executive Mid-Back Manager's Chair,4626.58,750.73,0.12,16.23
Furniture,DMI Arturo Collection Mission-style Design Wood Chair,4619.99,486.16,0.19,10.52
Technology,Polycom CX600 IP Phone VoIP phone,4619.23,896.85,0.15,19.42
Office Supplies,Letter Size Cart,4600.09,1252.88,0.05,27.24
Furniture,KI Adjustable-Height Table,4552.64,-248.48,0.24,-5.46
Furniture,"Bevis Round Bullnose 29"" High Table Top",4544.92,-192.19,0.26,-4.23
Office Supplies,Fellowes Officeware Wire Shelving,4509.47,-332.37,0.07,-7.37
Technology,Samsung Galaxy Note 2,4507.9,-128.8,0.3,-2.86
Office Supplies,"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03,388.75,0.06,8.68
Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96,956.95,0.1,21.37
Furniture,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.18,-1147.4,0.3,-25.81
Technology,Nortel Meridian M3904 Professional Digital phone,4434.91,936.26,0.08,21.11
Furniture,Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.06,41.12,0.27,0.93
Technology,Sharp 1540cs Digital Laser Copier,4399.92,1649.97,0.17,37.5
Technology,Logitech G19 Programmable Gaming Keyboard,4389.25,729.06,0.02,16.61
Office Supplies,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.04,-36.53,0.03,-0.83
Furniture,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.83,430.07,0.18,9.92
Furniture,Bevis 36 x 72 Conference Tables,4332.25,448.16,0.16,10.34
Office Supplies,GBC DocuBind TL200 Manual Binding Machine,4322.81,1592.5,0.22,36.84
Furniture,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.64,-611.59,0.33,-14.23
Technology,Cisco 9971 IP Video Phone Charcoal,4268,466.4,0.35,10.93
Technology,Motorola L703CM,4211.73,467.97,0.17,11.11
Office Supplies,GBC DocuBind 200 Manual Binding Machine,4209.8,1052.45,0.32,25
Technology,Hewlett Packard 310 Color Digital Copier,4199.86,839.97,0.13,20
Office Supplies,"SAFCO Commercial Wire Shelving, Black",4199.46,-635.44,0.14,-15.13
Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.48,342.89,0.16,8.19
Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,4181.75,693.56,0.32,16.59
Technology,Cisco SPA301,4180.53,904.74,0.16,21.64
Furniture,"Global Wood Trimmed Manager's Task Chair, Khaki",4166.88,-503.12,0.23,-12.07
Technology,Canon PC-428 Personal Copier,4119.79,1469.93,0.2,35.68
Technology,Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.39,733.28,0.14,18.13
Office Supplies,Fellowes Super Stor/Drawer Files,4006.44,473.34,0.07,11.81
Technology,Samsung Galaxy S4 Active,3999.92,1039.98,0,26
Technology,WD My Passport Ultra 2TB Portable External Hard Drive,3998.4,499.8,0.02,12.5
Technology,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1995.99,0,50
Furniture,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.73,425.76,0.16,10.67
Technology,Polycom SoundStation2 EX ConferenceÂ phone,3968.51,518.34,0.2,13.06
Furniture,Hon Racetrack Conference Tables,3963.9,-598.52,0.28,-15.1
Technology,Canon Image Class D660 Copier,3959.93,1691.97,0.1,42.73
Furniture,"Global Airflow Leather Mesh Back Chair, Black",3955.68,573.72,0.16,14.5
Office Supplies,Fellowes High-Stak Drawer Files,3946.66,419.33,0.12,10.62
Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.06,289.58,0.2,7.5
Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.18,1503.52,0,39
Technology,Polycom SoundPoint IP 450 VoIP phone,3839.62,162.62,0.23,4.24
Technology,Google Nexus 5,3815.79,710.96,0.12,18.63
Furniture,Hon Non-Folding Utility Tables,3775.65,541.65,0.2,14.35
Technology,LogitechÂ VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.79,21.6,0.08,0.58
Furniture,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.12,608.04,0.28,16.26
Technology,Aastra 57i VoIP phone,3684.71,575.33,0.14,15.61
Furniture,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.54,-491.18,0.19,-13.35
Technology,Polycom VoiceStation 500 ConferenceÂ phone,3657.38,339.19,0.16,9.27
Furniture,"Situations Contoured Folding Chairs, 4/Set",3641.27,234.23,0.18,6.43
Furniture,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.01,-208.65,0.23,-5.75
Technology,Toshiba IPT2010-SD IPÂ Telephone,3613.74,425.31,0.18,11.77
Furniture,"Bush Cubix Conference Tables, Fully Assembled",3603.29,311.82,0.2,8.65
Technology,Pyle PMP37LED,3590.03,576.9,0.1,16.07
Furniture,Global Adaptabilities Conference Tables,3540.35,354.03,0.15,10
Office Supplies,"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,536.9,0.1,15.18
Furniture,Global Comet Stacking Armless Chair,3528.79,514.37,0.17,14.58
Office Supplies,Avanti 4.4 Cu. Ft. Refrigerator,3511.01,383.68,0.14,10.93
Furniture,Hon Rectangular Conference Tables,3481.52,-295.82,0.32,-8.5
Furniture,"Iceberg OfficeWorks 42"" Round Tables",3457.44,-392.55,0.2,-11.35
Furniture,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,206.87,0,6
Furniture,O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.77,-755.75,0.24,-22.09
Technology,Geemarc AmpliPOWER60,3415.04,384.19,0.18,11.25
Technology,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,1668.2,0,49
Furniture,Bush Advantage Collection Round Conference Table,3401.6,210.47,0.24,6.19
Office Supplies,Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.31,78.25,0.05,2.3
Furniture,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89,100.21,0.18,2.99
Office Supplies,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.88,1517.91,0.05,45.68
Furniture,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.72,135.59,0.17,4.09
Furniture,Tenex Antistatic Computer Chair Mats,3317.01,-530.04,0.23,-15.98
Furniture,Bevis 44 x 96 Conference Tables,3253.22,-164.72,0.18,-5.06
Office Supplies,Ibico EB-19 Dual Function Manual Binding System,3234.91,1086.38,0.24,33.58
Office Supplies,GBC ProClick 150 Presentation Binding System,3223,-461.33,0.5,-14.31
Technology,Okidata C331dn Printer,3210.8,111.68,0.24,3.48
Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,-167.27,0.04,-5.26
Technology,Jabra SPEAK 410,3158.06,654.17,0.09,20.71
Furniture,"Global Fabric Manager's Chair, Dark Gray",3150.58,499.85,0.13,15.87
Furniture,Hon 2111 Invitation Series Corner Table,3140.55,-401.99,0.2,-12.8
Office Supplies,Economy Rollaway Files,3138.8,693.84,0.09,22.11
Technology,BlackBerry Q10,3099.35,548.06,0.07,17.68
Technology,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.8,1147.42,0.2,37.5
Office Supplies,Hoover WindTunnel Plus Canister Vacuum,3051.3,697.44,0.07,22.86
Technology,Digium D40 VoIP phone,3044.16,571.43,0.11,18.77
Technology,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040,1459.2,0,48
Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5,401.21,0.29,13.2
Office Supplies,Space Solutions HD Industrial Steel Shelving.,3035.21,24.14,0.02,0.8
Office Supplies,Carina Double Wide Media Storage Towers in Natural & Black,3028.65,-3.24,0.07,-0.11
Office Supplies,Compact Automatic Electric Letter Opener,2982.75,-57.27,0.05,-1.92
Furniture,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979,54.72,0.26,1.84
Furniture,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.06,-78.64,0.11,-2.65
Furniture,"Global Manager's Adjustable Task Chair, Storm",2959.21,493.7,0.12,16.68
Office Supplies,GBC DocuBind P100 Manual Binding Machine,2954.44,489.64,0.25,16.57
Furniture,O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.37,-767.74,0.33,-26.06
Office Supplies,3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,-872.08,0.52,-29.6
Technology,Aastra 6757i CT Wireless VoIP phone,2929.98,482.59,0.17,16.47
Furniture,Novimex Swivel Fabric Task Chair,2913.91,-445.39,0.2,-15.28
Technology,ShoreTel ShorePhone IP 230 VoIP phone,2906.63,422.48,0.15,14.54
Furniture,O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.16,-170.83,0.2,-5.88
Office Supplies,Kensington 7 Outlet MasterPiece Power Center,2883.28,229.59,0.2,7.96
Technology,Logitech Wireless Gaming Headset G930,2879.82,763.15,0.13,26.5
Technology,Bose SoundLink Bluetooth Speaker,2865.6,967.14,0.2,33.75
Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8,627.17,0.12,21.9
Furniture,"Lesro Round Back Collection Coffee Table, End Table",2847.78,-328.59,0.29,-11.54
Technology,Okidata MB491 Multifunction Printer,2844.3,-434.13,0.45,-15.26
Office Supplies,Premier Automatic Letter Opener,2836.37,-427.86,0.12,-15.08
Technology,Logitech Wireless Headset h800,2799.72,719.93,0.07,25.71
Office Supplies,Xerox 1915,2789.01,1262.39,0.04,45.26
Furniture,Electrix Halogen Magnifier Lamp,2759.06,314.77,0.23,11.41
Technology,MaxellÂ iVDR EX 500GB Cartridge,2755.4,1184.82,0,43
Technology,VTech DS6151,2746.58,478.76,0.12,17.43
Technology,Nortel Meridian M5316 Digital phone,2744.87,253.77,0.2,9.25
Furniture,O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.2,-975.1,0.42,-35.58
Office Supplies,"Carina Mini System Audio Rack, Model AR050B",2730.11,-68.81,0.07,-2.52
Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,578.68,0.07,21.38
Furniture,Hon Mobius Operator's Chair,2705.78,499.34,0.04,18.45
Furniture,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.06,1260.22,0.08,46.69
Furniture,"Bevis Round Conference Table Top, X-Base",2671.42,-519.94,0.27,-19.46
Technology,Imation Bio 8GB USBÂ Flash Drive ImationÂ Corp,2659.84,398.98,0,15
Furniture,Global Highback Leather Tilter in Burgundy,2647.81,49.13,0.14,1.86
Technology,Cisco 8x8 Inc. 6753i IP Business Phone System,2645.8,83.69,0.17,3.16
Office Supplies,Premier Electric Letter Opener,2641.61,0,0.08,0
Technology,Vtech CS6719,2630.13,418.52,0.17,15.91
Technology,NETGEAR AC1750 Dual Band GigabitÂ Smart WiFi Router,2623.84,723.15,0.04,27.56
Technology,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.74,995.9,0.07,38.02
Office Supplies,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.2,153.35,0.08,5.87
Technology,Motorola Droid Maxx,2609.83,341.98,0.15,13.1
Furniture,Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19,-48.8,0.28,-1.89
Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2552.54,51.05,0,2
Furniture,Bevis Boat-Shaped Conference Table,2542.47,-445.59,0.32,-17.53
Technology,Fellowes Powershred HS-440 4-Sheet High Security Shredder,2541.84,1092.68,0.07,42.99
Technology,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.96,-252,0.4,-10
Office Supplies,Safco Industrial Wire Shelving System,2511.05,-218.35,0.1,-8.7
Technology,Plantronics Calisto P620-M USB Wireless Speakerphone System,2508.67,505.65,0.1,20.16
Office Supplies,Easy-staple paper,2504.19,1096.03,0.06,43.77
Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2491.28,563.82,0.2,22.63
Office Supplies,Kensington 4 Outlet MasterPiece Compact Power Control Center,2488.39,380.58,0.17,15.29
Furniture,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.76,410.35,0.04,16.49
Office Supplies,Sensible Storage WireTech Storage Systems,2484.3,-78.08,0.08,-3.14
Technology,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2481.15,540.02,0.1,21.76
Technology,Enermax Acrylux Wireless Keyboard,2450.16,630.47,0.1,25.73
Technology,Panasonic KX MB2061 Multifunction Printer,2396.4,179.73,0.2,7.5
Furniture,Global Super Steno Chair,2389.9,0,0.14,0
Furniture,Harbour Creations Steel Folding Chair,2389.12,336.38,0.16,14.08
Technology,LogitechÂ Gaming G510s - Keyboard,2362.72,676.52,0.08,28.63
Technology,Swingline SM12-08 MicroCut Jam Free Shredder,2359.94,-447.99,0.53,-18.98
Technology,"3D Systems Cube Printer, 2nd Generation, White",2339.98,-468,0.35,-20
Technology,Logitech G700s Rechargeable Gaming Mouse,2339.77,889.91,0.09,38.03
Technology,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65,-785.76,0.42,-33.71
Office Supplies,"Fellowes Mobile File Cart, Black",2300.66,485,0.06,21.08
Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.75,-172.94,0.12,-7.52
Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.11,-12.13,0.18,-0.53
Furniture,Bevis Round Conference Table Top & Single Column Base,2297.54,100.97,0.22,4.39
Technology,Xiaomi Mi3,2279.96,592.79,0,26
Furniture,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.97,148.37,0.14,6.54
Office Supplies,GBC DocuBind P50 Personal Binding Machine,2264.89,569.42,0.34,25.14
Technology,Cisco IP Phone 7961G-GE VoIP phone,2252.43,-119.12,0.35,-5.29
Technology,Plantronics S12 Corded Telephone Headset System,2242.03,754.53,0.1,33.65
Furniture,BPI Conference Tables,2241.87,-795.97,0.37,-35.5
Technology,Plantronics HL10 Handset Lifter,2227.01,250.54,0.2,11.25
Technology,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,2221.6,324.69,0.1,14.62
Office Supplies,Avanti 1.7 Cu. Ft. Refrigerator,2221.56,476.63,0.1,21.45
Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.96,231.65,0.1,10.49
Furniture,"Global Value Steno Chair, Gray",2204.86,246,0.16,11.16
Furniture,Office Star - Mesh Screen back chair with Vinyl seat,2200.46,-130.98,0.14,-5.95
Furniture,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,569.84,0,26
Furniture,"Global Push Button Manager's Chair, Indigo",2185.95,283.75,0.2,12.98
Technology,Jabra Supreme Plus Driver EditionÂ Headset,2159.82,259.18,0.16,12
Technology,Razer Kraken PRO Over Ear PC and Music Headset,2159.73,479.94,0.1,22.22
Technology,Logitech G35 7.1-Channel Surround Sound Headset,2157.83,699.35,0.03,32.41
Technology,Samsung Galaxy Note 3,2155.9,153.99,0.2,7.14
Furniture,Sauder Inglewood Library Bookcases,2154.35,311.18,0.13,14.44
Furniture,KI Conference Tables,2140.88,-479.22,0.32,-22.38
Technology,Mitel 5320 IP Phone VoIP phone,2116.69,211.67,0.2,10
Technology,Imation Bio 2GB USBÂ Flash Drive ImationÂ Corp,2098.88,881.53,0,42
Furniture,Laminate Occasional Tables,2096.17,-206.53,0.23,-9.85
Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.23,-173.13,0.2,-8.39
Technology,Cisco SPA 502G IP Phone,2063.14,299.88,0.16,14.54
Furniture,"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.5,-529.76,0.3,-25.74
Technology,HTC One Mini,2041.04,317.49,0.15,15.56
Furniture,Hon 2111 Invitation Series Straight Table,2040.05,-115.31,0.27,-5.65
Furniture,"Bevis Traditional Conference Table Top, Plinth Base",2033.5,-456.7,0.33,-22.46
Furniture,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,-460.67,0.25,-22.67
Technology,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.3,-339.71,0.16,-16.76
Technology,Jawbone JAMBOX Wireless Bluetooth Speaker,2022.27,872.1,0.07,43.12
Technology,Jabra SPEAK 410 Multidevice Speakerphone,2018.7,10.3,0.27,0.51
Technology,Ooma Telo VoIP Home Phone System,2015.84,314.98,0.12,15.63
Technology,Okidata C610n Printer,2011.9,-292.05,0.4,-14.52
Technology,Logitech G602 Wireless Gaming Mouse,1999.75,515.14,0.11,25.76
Technology,Adtran 1202752G1,1990.64,312.46,0.16,15.7
